Day,identity,phase,gaze_relative_angle
1,Bottom_Left,Vortex_1,153.6297426169642
1,Bottom_Left,Vortex_1,153.64819974208476
1,Bottom_Left,Vortex_1,153.6591092736854
1,Bottom_Left,Vortex_1,153.68012525349482
1,Bottom_Left,Vortex_1,153.67737315514876
1,Bottom_Left,Vortex_1,153.67508078191597
1,Bottom_Left,Vortex_1,149.5038275237709
1,Bottom_Left,Vortex_1,149.44839869163908
1,Bottom_Left,Vortex_1,149.44268822688076
1,Bottom_Left,Vortex_1,149.369223254671
1,Bottom_Left,Vortex_1,149.3171705229974
1,Bottom_Left,Vortex_1,149.2144796776814
1,Bottom_Left,Vortex_1,149.49006649658037
1,Bottom_Left,Vortex_1,149.5007394765488
1,Bottom_Left,Vortex_1,149.49959707825593
1,Bottom_Left,Vortex_1,149.61791899141346
1,Bottom_Left,Vortex_1,149.61273295848133
1,Bottom_Left,Vortex_1,153.66220580102194
1,Bottom_Left,Vortex_1,153.699179181901
1,Bottom_Left,Vortex_1,153.69918826966946
1,Bottom_Left,Vortex_1,153.6991700941341
1,Bottom_Left,Vortex_1,154.41148711119186
1,Bottom_Left,Vortex_1,154.36645754433584
1,Bottom_Left,Vortex_1,154.41675938159966
1,Bottom_Left,Vortex_1,154.41484313314635
1,Bottom_Left,Vortex_1,154.4132399550326
1,Bottom_Left,Vortex_1,150.42288370919692
1,Bottom_Left,Vortex_1,150.42235345001987
1,Bottom_Left,Vortex_1,150.4145421514456
1,Bottom_Left,Vortex_1,150.44956784285662
1,Bottom_Left,Vortex_1,150.47138420788158
1,Bottom_Left,Vortex_1,150.53593393652895
1,Bottom_Left,Vortex_1,150.25866899368725
1,Bottom_Left,Vortex_1,150.24646640124615
1,Bottom_Left,Vortex_1,150.19618889532538
1,Bottom_Left,Vortex_1,150.19616053011808
1,Bottom_Left,Vortex_1,150.19617901700263
1,Bottom_Left,Vortex_1,153.84101744697196
1,Bottom_Left,Vortex_1,153.8466234980127
1,Bottom_Left,Vortex_1,153.83180436038546
1,Bottom_Left,Vortex_1,153.8108436774731
1,Bottom_Left,Vortex_1,153.7994863149387
1,Bottom_Left,Vortex_1,153.72392183825994
1,Bottom_Left,Vortex_1,153.32306723427422
1,Bottom_Left,Vortex_1,153.29601767026236
1,Bottom_Left,Vortex_1,153.32355040030916
1,Bottom_Left,Vortex_1,153.32193391951756
1,Bottom_Left,Vortex_1,153.31874457238484
1,Bottom_Left,Vortex_1,151.26966523069868
1,Bottom_Left,Vortex_1,151.26762847554602
1,Bottom_Left,Vortex_1,151.24558771496518
1,Bottom_Left,Vortex_1,151.25297082654936
1,Bottom_Left,Vortex_1,151.25791056777388
1,Bottom_Left,Vortex_1,151.25247197876473
1,Bottom_Left,Vortex_1,150.77330889784025
1,Bottom_Left,Vortex_1,150.78721382305457
1,Bottom_Left,Vortex_1,150.8089342254053
1,Bottom_Left,Vortex_1,150.8489135277918
1,Bottom_Left,Vortex_1,150.855571784839
1,Bottom_Left,Vortex_1,153.80406524164107
1,Bottom_Left,Vortex_1,153.86671464752607
1,Bottom_Left,Vortex_1,153.9295264718687
1,Bottom_Left,Vortex_1,153.9220624643023
1,Bottom_Left,Vortex_1,153.90226295165462
1,Bottom_Left,Vortex_1,153.902054237828
1,Bottom_Left,Vortex_1,153.74809835739254
1,Bottom_Left,Vortex_1,153.7750449653319
1,Bottom_Left,Vortex_1,153.8693606121748
1,Bottom_Left,Vortex_1,153.92719400681779
1,Bottom_Left,Vortex_1,153.9270669988852
1,Bottom_Left,Vortex_1,148.9750644033286
1,Bottom_Left,Vortex_1,148.98686108618713
1,Bottom_Left,Vortex_1,149.00211854377818
1,Bottom_Left,Vortex_1,149.01060182186148
1,Bottom_Left,Vortex_1,149.0433241640928
1,Bottom_Left,Vortex_1,149.08258269405195
1,Bottom_Left,Vortex_1,149.99930660697297
1,Bottom_Left,Vortex_1,150.22458192145842
1,Bottom_Left,Vortex_1,150.20830703174562
1,Bottom_Left,Vortex_1,150.20120950826862
1,Bottom_Left,Vortex_1,150.19383247235064
1,Bottom_Left,Vortex_1,153.2668206190833
1,Bottom_Left,Vortex_1,153.29196012873876
1,Bottom_Left,Vortex_1,153.34203074067014
1,Bottom_Left,Vortex_1,153.3420707033262
1,Bottom_Left,Vortex_1,150.22967053096244
1,Bottom_Left,Vortex_1,150.21647872961026
1,Bottom_Left,Vortex_1,150.24403955551367
1,Bottom_Left,Vortex_1,150.22464960672113
1,Bottom_Left,Vortex_1,150.19355032758762
1,Bottom_Left,Vortex_1,150.17140813515644
1,Bottom_Left,Vortex_1,150.171986719614
1,Bottom_Left,Vortex_1,150.24923777082267
1,Bottom_Left,Vortex_1,150.31830396538018
1,Bottom_Left,Vortex_1,150.40741620142742
1,Bottom_Left,Vortex_1,150.4074557647737
1,Bottom_Left,Vortex_1,153.60991620676162
1,Bottom_Left,Vortex_1,153.65156817786394
1,Bottom_Left,Vortex_1,153.67890771087102
1,Bottom_Left,Vortex_1,153.6285129781168
1,Bottom_Left,Vortex_1,153.56004436931545
1,Bottom_Left,Vortex_1,153.53677697575662
1,Bottom_Left,Vortex_1,153.51020814823565
1,Bottom_Left,Vortex_1,153.51020814823565
1,Bottom_Left,Vortex_1,149.6776964027443
1,Bottom_Left,Vortex_1,149.65380739077182
1,Bottom_Left,Vortex_1,149.6368270860918
1,Bottom_Left,Vortex_1,149.55719346683202
1,Bottom_Left,Vortex_1,149.52383776153795
1,Bottom_Left,Vortex_1,149.48901881797912
1,Bottom_Left,Vortex_1,150.17886000945003
1,Bottom_Left,Vortex_1,150.12793127474433
1,Bottom_Left,Vortex_1,150.15283396005196
1,Bottom_Left,Vortex_1,150.12666468074553
1,Bottom_Left,Vortex_1,150.12666468074553
1,Bottom_Left,Vortex_1,154.11573552506545
1,Bottom_Left,Vortex_1,154.09464828158738
1,Bottom_Left,Vortex_1,154.08954868508633
1,Bottom_Left,Vortex_1,154.11859916054317
1,Bottom_Left,Vortex_1,154.09290476426258
1,Bottom_Left,Vortex_1,154.10954475887561
1,Bottom_Left,Vortex_1,154.53336179418287
1,Bottom_Left,Vortex_1,154.57308626861166
1,Bottom_Left,Vortex_1,154.55978946125984
1,Bottom_Left,Vortex_1,154.59337630370266
1,Bottom_Left,Vortex_1,154.53004595592247
1,Bottom_Left,Vortex_1,151.3201598676758
1,Bottom_Left,Vortex_1,151.34979732662683
1,Bottom_Left,Vortex_1,151.3295840802812
1,Bottom_Left,Vortex_1,151.34975487346713
1,Bottom_Left,Vortex_1,150.95390006436753
1,Bottom_Left,Vortex_1,150.9558037531844
1,Bottom_Left,Vortex_2,-171.592521021352
1,Bottom_Left,Vortex_2,-172.2074529570867
1,Bottom_Left,Vortex_2,-172.2073263088328
1,Bottom_Left,Vortex_2,-172.2074529570867
1,Bottom_Left,Vortex_2,-173.67043232713883
1,Bottom_Left,Vortex_2,174.86252737439276
1,Bottom_Left,Vortex_2,-173.71986348911258
1,Bottom_Left,Vortex_2,174.76258517649674
1,Bottom_Left,Vortex_2,174.73458656433323
1,Bottom_Left,Vortex_2,174.67877556862868
1,Bottom_Left,Vortex_2,174.74548617568732
1,Bottom_Left,Vortex_2,174.74631097732419
1,Bottom_Left,Vortex_2,175.60603537173054
1,Bottom_Left,Vortex_2,175.6577882254122
1,Bottom_Left,Vortex_2,-172.4514278283873
1,Bottom_Left,Vortex_2,-172.28081496202003
1,Bottom_Left,Vortex_2,-172.19506913679726
1,Bottom_Left,Vortex_2,-172.19711385612712
1,Bottom_Left,Vortex_2,-172.19768669182258
1,Bottom_Left,Vortex_2,175.75795418171853
1,Bottom_Left,Vortex_2,175.7506333565412
1,Bottom_Left,Vortex_2,175.60914255144448
1,Bottom_Left,Vortex_2,175.61826785208999
1,Bottom_Left,Vortex_2,175.71436530052011
1,Bottom_Left,Vortex_2,175.8357893023435
1,Bottom_Left,Vortex_2,175.8036402935462
1,Bottom_Left,Vortex_2,175.9500171085603
1,Bottom_Left,Vortex_2,175.91666673671585
1,Bottom_Left,Vortex_2,-172.48784971188306
1,Bottom_Left,Vortex_2,-172.33718603733413
1,Bottom_Left,Vortex_2,-172.37766066503042
1,Bottom_Left,Vortex_2,-172.39542257018823
1,Bottom_Left,Vortex_2,-173.12903712182677
1,Bottom_Left,Vortex_2,-173.12841651835421
1,Bottom_Left,Vortex_2,-171.83985496649603
1,Bottom_Left,Vortex_2,-171.86180202642788
1,Bottom_Left,Vortex_2,-171.79433216397334
1,Bottom_Left,Vortex_2,-171.82474715979149
1,Bottom_Left,Vortex_2,-171.79229133290178
1,Bottom_Left,Vortex_2,176.16270149920038
1,Bottom_Left,Vortex_2,176.1627733371057
1,Bottom_Left,Vortex_2,176.19671383340904
1,Bottom_Left,Vortex_2,176.2513757536509
1,Bottom_Left,Vortex_2,176.30661522899845
1,Bottom_Left,Vortex_2,176.3185538986635
1,Bottom_Left,Vortex_2,176.32677097652993
1,Bottom_Left,Vortex_2,176.33425538478707
1,Bottom_Left,Vortex_2,-172.10896686936053
1,Bottom_Left,Vortex_2,-172.06629538703507
1,Bottom_Left,Vortex_2,-172.10676252104668
1,Bottom_Left,Vortex_2,-172.12030455714444
1,Bottom_Left,Vortex_2,-172.1069508909993
1,Bottom_Left,Vortex_2,-172.0998813114345
1,Bottom_Left,Vortex_2,-172.1397751168349
1,Bottom_Left,Vortex_2,-172.13881165835377
1,Bottom_Left,Vortex_2,176.39392693903372
1,Bottom_Left,Vortex_2,176.40195886487115
1,Bottom_Left,Vortex_2,176.36868287807445
1,Bottom_Left,Vortex_2,176.50466704744744
1,Bottom_Left,Vortex_2,176.4609487115613
1,Bottom_Left,Vortex_2,176.38904990295
1,Bottom_Left,Vortex_2,176.33992317154792
1,Bottom_Left,Vortex_2,176.45233889189996
1,Bottom_Left,Vortex_2,176.45235806137404
1,Bottom_Left,Vortex_2,119.03310973106457
1,Bottom_Left,Vortex_2,119.09807639908863
1,Bottom_Left,Vortex_2,-170.7939854338016
1,Bottom_Left,Vortex_2,118.20128137054655
1,Bottom_Left,Vortex_2,120.55371393301046
1,Bottom_Left,Vortex_2,121.0797425901942
1,Bottom_Left,Vortex_2,121.82716157183555
1,Bottom_Left,Vortex_2,174.76337882928541
1,Bottom_Left,Vortex_2,175.14138300825508
1,Bottom_Left,Vortex_2,175.51394675785755
1,Bottom_Left,Vortex_2,175.25705970516444
1,Bottom_Left,Vortex_2,175.25705970516444
1,Bottom_Left,Vortex_2,175.257080124467
1,Bottom_Left,Vortex_2,176.9632094800508
1,Bottom_Left,Vortex_2,176.91009730949918
1,Bottom_Left,Vortex_2,176.93255548553694
1,Bottom_Left,Vortex_2,176.90682363905066
1,Bottom_Left,Vortex_2,176.89721827519557
1,Bottom_Left,Vortex_2,176.89721827519557
1,Bottom_Left,Vortex_2,78.49391938631932
1,Bottom_Left,Vortex_2,114.41798030087705
1,Bottom_Left,Vortex_2,114.67008014366085
1,Bottom_Left,Vortex_2,77.84885975023069
1,Bottom_Left,Vortex_2,112.93391273523854
1,Bottom_Left,Vortex_2,113.10607150814742
1,Bottom_Left,Vortex_2,112.59772925977772
1,Bottom_Left,Vortex_2,-168.49981971605374
1,Bottom_Left,Vortex_2,-168.4954894878045
1,Bottom_Left,Vortex_2,-168.4309551653972
1,Bottom_Left,Vortex_2,-168.4235581472435
1,Bottom_Left,Vortex_2,-168.23737926541406
1,Bottom_Left,Vortex_2,-168.26235086663522
1,Bottom_Left,Vortex_2,-166.55823552461553
1,Bottom_Left,Vortex_2,-166.6417438581156
1,Bottom_Left,Vortex_2,-166.59235749515398
1,Bottom_Left,Vortex_2,-166.58442682391183
1,Bottom_Left,Vortex_2,-173.4710050010092
1,Bottom_Left,Vortex_2,-173.5076359788871
1,Bottom_Left,Vortex_2,-173.5076359788871
1,Bottom_Left,Vortex_2,-170.890863230897
1,Bottom_Left,Vortex_2,-171.04126962744573
1,Bottom_Left,Vortex_2,-171.06940706107127
1,Bottom_Left,Vortex_2,-170.87630271729037
1,Bottom_Left,Vortex_2,-170.56225938878012
1,Bottom_Left,Vortex_2,-170.4009257009485
1,Bottom_Left,Vortex_2,-172.6800325231274
1,Bottom_Left,Vortex_2,-172.8329849526314
1,Bottom_Left,Vortex_2,-173.04056964419084
1,Bottom_Left,Vortex_2,-173.0441599428162
1,Bottom_Left,Vortex_2,-173.0441599428162
1,Bottom_Left,Vortex_2,-177.24909603431507
1,Bottom_Left,Vortex_2,-177.24721550288461
1,Bottom_Left,Vortex_2,-177.21417970322125
1,Bottom_Left,Vortex_2,-177.24991010696198
1,Bottom_Left,Vortex_2,-177.20938239836775
1,Bottom_Left,Vortex_2,-177.0947371048218
